,raw_hz,peak_id,line_width,integral,file_path,raw_Al_concentration,raw_Li_concentration,raw_Na_concentration,raw_AlNO3_concentration,degrees_celsius,Hz,Mat_Source,raw_mg,scan_count,nmr_element,ppm
577,14710.0,578.0,5.905331609764573,9990069248.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-2745Hz-25C-11th-1448ctF.ft,0.5,,3.0,,25,2745,,,1448,27Al,-20.858823529411765
1122,14707.0,4.0,8.739629227535374,7358709760.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2782Hz-50C-128ct.ft,0.15,,3.0,,50,2782,Gibbsite,,128,27Al,-20.894117647058824
1543,16343.0,76.0,608.2935986049296,620481728.0,standard/27Al-0808G1-gibbsite-23p9mg-2737Hz-25C-248ct.ft,,,,,25,2737,0808G1-gibbsite,23.9,248,27Al,-1.6470588235294117
1565,14710.0,1.0,3.84235906200022,73796984.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-2nd-2740Hz-25C-128ctF.ft,0.15,,3.0,,25,2740,,,128,27Al,-20.858823529411765
1609,14706.0,5.0,5.960642853213457,7054863360.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2744Hz-110C-128ct.ft,0.15,,3.0,,110,2744,Gibbsite,,128,27Al,-20.905882352941177
1840,14708.0,34.0,5.274926396490443,5365579264.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2752Hz-50C-600ct.ft,0.15,,3.0,,50,2752,,,600,27Al,-20.88235294117647
1990,16303.0,87.0,335.21075329522137,1852086272.0,standard/27Al-gibbsite-23p9mg-4012Hz-25C-512ctF.ft,,,,,25,4012,27Al-gibbsite,23.9,512,27Al,-2.1176470588235294
2030,14706.0,10.0,4.7400594214414795,4071409920.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2691Hz-110C-600ct.ft,0.15,,3.0,,110,2691,,,600,27Al,-20.905882352941177
2085,14705.0,43.0,5.287875655433481,7021813248.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2730Hz-140C-128ctF.ft,0.15,,3.0,,140,2730,Gibbsite,,128,27Al,-20.917647058823526
2193,14709.0,29.0,5.289524161322078,5430731776.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2762Hz-40C-600ctF.ft,0.15,,3.0,,40,2762,,,600,27Al,-20.870588235294118
3378,14703.0,1128.0,4.377359283776201,10975953920.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-2631Hz-132C-7th-3000ctF.ft,0.5,,3.0,,132,2631,,,3000,27Al,-20.941176470588236
4440,14708.0,1.0,3.0,3049177.25,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-spin-up-to-2713Hz-25C-2nd-128ct.ft,0.5,,3.0,,25,2713,,,128,27Al,-20.88235294117647
4446,15149.0,3.0,49.0,29039386.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-2713Hz-25C-4th-128ct.ft,0.5,,3.0,,25,2713,,,128,27Al,-15.694117647058825
5973,14709.0,1526.0,5.586157685688136,20392986624.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-4010Hz-25C-12th-3024ct.ft,0.5,,3.0,,25,4010,,,3024,27Al,-20.870588235294118
9353,14707.0,22.0,4.98143096214865,4441565696.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2710Hz-90C-600ct.ft,0.15,,3.0,,90,2710,,,600,27Al,-20.894117647058824
9418,14724.0,1.0,4.2964325052925325,87552176.0,0819G1-0p5M-AlOH3-3M-LiOH-D2O/27Al-1st-2730Hz-25C-128ct.ft,0.5,3.0,,,25,2730,,,128,27Al,-20.694117647058825
9803,14703.0,347.0,5.422507034159295,48493465600.0,0808G1-1M-AlOH3-3M-NaOH-D2O/27Al-6th-2648Hz-132C-5000ct.ft,1.0,,3.0,,132,2648,,,5000,27Al,-20.941176470588236
10106,15148.0,3.0,59.0,35087112.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-2713Hz-25C-3rd-128ctF.ft,0.5,,3.0,,25,2713,,,128,27Al,-15.705882352941176
10131,14707.0,11.0,10.564967486246701,7432233984.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2795Hz-25C-128ct.ft,0.15,,3.0,,25,2795,Gibbsite,,128,27Al,-20.894117647058824
10352,16303.0,87.0,335.21075329522137,1852086272.0,standard/27Al-gibbsite-23p9mg-4012Hz-25C-512ct.ft,,,,,25,4012,27Al-gibbsite,23.9,512,27Al,-2.1176470588235294
10407,14707.0,37.0,5.080925014268757,4959741952.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2732Hz-70C-600ct.ft,0.15,,3.0,,70,2732,,,600,27Al,-20.894117647058824
10461,14726.0,1.0,4.294200590761555,27892756.0,0819G1-0p1M-AlOH3-3M-LiOH-D2O/27Al-1st-2744Hz-25C-64ctF.ft,0.1,3.0,,,25,2744,,,64,27Al,-20.670588235294115
10485,14708.0,24.0,4.961225030645835,5143447040.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2742Hz-60C-600ctF.ft,0.15,,3.0,,60,2742,,,600,27Al,-20.88235294117647
10527,14706.0,4.0,6.576840480302977,7199169536.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2755Hz-90C-128ctF.ft,0.15,,3.0,,90,2755,Gibbsite,,128,27Al,-20.905882352941177
10765,14706.0,14.0,4.684255918092319,4307896832.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2700Hz-100C-600ct.ft,0.15,,3.0,,100,2700,,,600,27Al,-20.905882352941177
10839,16303.0,35.0,310.2098659924875,4107616000.0,standard/27Al-0819G1-gibbsite-18p7mg-4012Hz-25C-512ctF.ft,,,,,25,4012,0819G1-gibbsite,18.7,512,27Al,-2.1176470588235294
10982,14707.0,110.0,7.444968874188305,58643419136.0,0808G1-1M-AlOH3-3M-NaOH-D2O/27Al-7th-2750Hz-25C-3640ctF.ft,1.0,,3.0,,25,2750,,,3640,27Al,-20.894117647058824
11144,15158.0,161.0,34.0,35274348.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-without-liquid-2845Hz-25C-14th-9888ct.ft,0.5,,3.0,,25,2845,,,9888,27Al,-15.588235294117647
11733,16298.0,23.0,196.99453632694804,8412777984.0,standard/27Al-5-10nm-boehmite-54p8mg-4045Hz-25C-280ctF.ft,,,,,25,4045,boehmite,54.8,280,27Al,-2.176470588235294
14770,14709.0,2965.0,5.712695411964489,17017815040.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-3513Hz-25C-13th-2500ctF.ft,0.5,,3.0,,25,3513,,,2500,27Al,-20.870588235294118
18153,14708.0,1.0,3.0,3049177.25,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-spin-up-to-2713Hz-25C-2nd-128ctF.ft,0.5,,3.0,,25,2713,,,128,27Al,-20.88235294117647
18175,14706.0,4.0,6.576840480302977,7199169536.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2755Hz-90C-128ct.ft,0.15,,3.0,,90,2755,Gibbsite,,128,27Al,-20.905882352941177
18400,16483.0,1.0,15.20228008721152,77753360.0,27Al-1M-AlNO3-reference-09-02-2016-10am.ft,,,,1.0,,,,,,27Al,0.0
18424,14707.0,22.0,4.98143096214865,4441565696.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2710Hz-90C-600ctF.ft,0.15,,3.0,,90,2710,,,600,27Al,-20.894117647058824
18449,14710.0,1.0,3.84235906200022,73796984.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-2nd-2740Hz-25C-128ct.ft,0.15,,3.0,,25,2740,,,128,27Al,-20.858823529411765
18451,14705.0,2.0,4.603310602721528,1919177472.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2671Hz-130C-600ct.ft,0.15,,3.0,,130,2671,,,600,27Al,-20.917647058823526
18476,14708.0,24.0,4.961225030645835,5143447040.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-5th-2742Hz-60C-600ct.ft,0.15,,3.0,,60,2742,,,600,27Al,-20.88235294117647
18525,14707.0,11.0,10.564967486246701,7432233984.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/27Al-concentrated-Gibbsite-2795Hz-25C-128ctF.ft,0.15,,3.0,,25,2795,Gibbsite,,128,27Al,-20.894117647058824
18767,16343.0,76.0,608.2935986049296,620481728.0,standard/27Al-0808G1-gibbsite-23p9mg-2737Hz-25C-248ctF.ft,,,,,25,2737,0808G1-gibbsite,23.9,248,27Al,-1.6470588235294117
19239,14703.0,347.0,5.422507034159295,48493465600.0,0808G1-1M-AlOH3-3M-NaOH-D2O/27Al-6th-2648Hz-132C-5000ctF.ft,1.0,,3.0,,132,2648,,,5000,27Al,-20.941176470588236
19582,14726.0,1.0,4.294200590761555,27892756.0,0819G1-0p1M-AlOH3-3M-LiOH-D2O/27Al-1st-2744Hz-25C-64ct.ft,0.1,3.0,,,25,2744,,,64,27Al,-20.670588235294115
19753,15158.0,161.0,34.0,35274348.0,0808G1-0p5M-AlOH3-3M-NaOH-D2O/27Al-without-liquid-2845Hz-25C-14th-9888ctF.ft,0.5,,3.0,,25,2845,,,9888,27Al,-15.588235294117647
